key	first_author	year	arxiv_id_version	doi	short_title	status	cited_in
Kobayashi2019	Kobayashi	2019	1901.07183v2	10.1088/1361-6633/ab2429	Horndeski theory and beyond: a review	verified-abstract	foundations
Kolevatov2017	Kolevatov	2017	1705.06626v2	10.1088/1475-7516/2017/08/038	Cosmological bounce and Genesis beyond Horndeski	verified-abstract	foundations
Konoplya2022	Konoplya	2022	2106.05034v4	10.1103/PhysRevLett.128.091104	Traversable wormholes in general relativity	verified-fulltext	design_strategy
Kontou2013	Kontou	2013	1212.2290v1	10.1103/PhysRevD.87.064009	ANEC in a classical curved background	verified-abstract	foundations;design_strategy
Kontou2015	Kontou	2015	1507.00297v2	10.1103/PhysRevD.92.124009	Proof of ANEC using a null-projected QI	verified-fulltext	foundations;design_strategy;synthesis
Kontou2020	Kontou	2020	2003.01815v2	10.1088/1361-6382/ab8fcf	Energy conditions in GR and QFT (review)	verified-fulltext	foundations;design_strategy
Kontou2024	Kontou	2024	2405.05963v2	10.3390/universe10070291	Wormhole restrictions from QEIs	verified-fulltext	foundations;design_strategy;synthesis
Krasnikov1998	Krasnikov	1998	gr-qc/9511068v6	10.1103/PhysRevD.57.4760	Hyperfast travel in general relativity	verified-fulltext	foundations;design_strategy;synthesis
Krasnikov2003	Krasnikov	2003	gr-qc/0207057v3	10.1103/PhysRevD.67.104013	Quantum inequalities do not forbid spacetime shortcuts	verified-fulltext	design_strategy
Krasnikov2018	Krasnikov	2018		10.1007/978-3-319-72754-7	Back-in-time and faster-than-light travel in GR	verified-abstract	foundations
Lamport1978	Lamport	1978		10.1145/359545.359563	Time, clocks, and the ordering of events	verified-fulltext	engineering_methods;synthesis
Lawson1957	Lawson	1957		10.1088/0370-1301/70/1/303	Criteria for a power producing thermonuclear reactor	metadata-only	engineering_methods;synthesis
Le2026a	Le	2026	2605.25417v2		On the boundary cost of source-consistent warp shells	verified-fulltext	design_strategy;P01_vetting;synthesis
Le2026b	Le	2026	2602.18023v6		Observer-robust energy condition verification for warp drives	verified-fulltext	design_strategy;P01_vetting;synthesis
Le2026c	Le	2026	2606.22531v4		Radiative steering of warp shells	verified-abstract	design_strategy;synthesis
Lentz2021	Lentz	2021	2006.07125v2	10.1088/1361-6382/abe692	Breaking the warp barrier: hyper-fast solitons	verified-abstract	foundations;design_strategy
Lentz2023	Lentz	2023	2201.00652v1	10.1142/9789811269776_0061	Hyper-fast positive energy warp drives (MG16)	verified-abstract	design_strategy
Leonhardt2006a	Leonhardt	2006	physics/0602092v1	10.1126/science.1126493	Optical conformal mapping	verified-abstract	engineering_methods
Leonhardt2006b	Leonhardt	2006	cond-mat/0607418v2	10.1088/1367-2630/8/10/247	General relativity in electrical engineering	verified-fulltext	engineering_methods
Leonhardt2009	Leonhardt	2009		10.1016/S0079-6638(08)00202-3	Transformation optics and the geometry of light	unverified	engineering_methods
Li2008	Li	2008	0806.4396v1	10.1103/PhysRevLett.101.203901	Hiding under the carpet (carpet cloak)	verified-fulltext	engineering_methods
Libanov2016	Libanov	2016	1605.05992v2	10.1088/1475-7516/2016/08/037	Generalized Galileons: instabilities of bouncing and Genesis	verified-abstract	foundations
Liu2009	Liu	2009		10.1126/science.1166949	Broadband ground-plane cloak	verified-abstract	engineering_methods
Lobo2004	Lobo	2004	gr-qc/0406083v2	10.1088/0264-9381/21/24/011	Fundamental limitations on warp drive spacetimes	verified-fulltext	design_strategy;synthesis
Lobo2008	Lobo	2008	0710.4474v1		Exotic solutions in GR: wormholes and warp drives (review chapter)	verified-abstract	foundations
Lobo2009	Lobo	2009	0909.5539v2	10.1103/PhysRevD.80.104012	Wormhole geometries in f(R) gravity	verified-fulltext	design_strategy
Lobo2017	Lobo	2017		10.1007/978-3-319-55182-1	Wormholes, warp drives and energy conditions (edited)	verified-abstract	foundations
Loffler2012	Löffler	2012	1111.3344v1	10.1088/0264-9381/29/11/115001	The Einstein Toolkit	verified-fulltext	engineering_methods
LoPiano2021	Lo Piano	2021		10.1016/j.ress.2020.107300	Variance-based sensitivity analysis: estimators and designs	metadata-only	engineering_methods
Loup2001	Loup	2001	gr-qc/0107097v2		Reduced total energy requirements for a modified Alcubierre drive	verified-abstract	design_strategy
Low1999	Low	1999	gr-qc/9812067v1	10.1088/0264-9381/16/2/016	Speed limits in general relativity	verified-fulltext	design_strategy
Maldacena2021	Maldacena	2021	2008.06618v2	10.1103/PhysRevD.103.066007	Humanly traversable wormholes	verified-fulltext	design_strategy;synthesis
Maldacena2023	Maldacena	2023	1807.04726v3	10.1088/1361-6382/acde30	Traversable wormholes in four dimensions	verified-fulltext	design_strategy;synthesis
Mankins1995	Mankins	1995			Technology readiness levels: a white paper	verified-fulltext	engineering_methods
Mankins2009	Mankins	2009		10.1016/j.actaastro.2009.03.058	Technology readiness assessments: a retrospective	metadata-only	engineering_methods
MartinMoruno2013	Martín-Moruno	2013	1306.2076v3	10.1007/JHEP09(2013)050	Semiclassical energy conditions for quantum vacuum states	verified-abstract	foundations
MartinMoruno2017	Martín-Moruno	2017	1702.05915v3	10.1007/978-3-319-55182-1_9	Classical and semi-classical energy conditions (chapter)	verified-abstract	foundations
MartinMoruno2018a	Martín-Moruno	2018	1802.00865v2	10.1088/1361-6382/aac147	Essential core of the Hawking-Ellis types	verified-abstract	foundations;design_strategy;P01_vetting
MartinMoruno2018b	Martín-Moruno	2018	1806.02094v1	10.1088/1361-6382/aad473	Hawking-Ellis type III spacetime geometry	verified-abstract	foundations
MartinMoruno2020	Martín-Moruno	2020	1907.01269v3	10.1088/1361-6382/ab56f6	Type III stress-energy tensor: ugly duckling	verified-abstract	foundations
MartinMoruno2021	Martín-Moruno	2021	2102.13551v2	10.1103/PhysRevD.103.124003	Hawking-Ellis classification: test fields vs back-reaction	verified-fulltext	foundations;design_strategy;P01_vetting;synthesis
Mattingly2021	Mattingly	2021	2010.13693v3	10.3390/universe7020021	Curvature invariants for Alcubierre and Natario warp drives	verified-abstract	design_strategy
McMonigal2012	McMonigal	2012	1202.5708v1	10.1103/PhysRevD.85.064024	Alcubierre warp drive: on the matter of matter	verified-fulltext	design_strategy;synthesis
Miller2006	Miller	2006		10.1364/OE.14.012457	On perfect cloaking	verified-abstract	engineering_methods
Millis2004	Millis	2004			Breakthrough Propulsion Physics project management methods	metadata-only	engineering_methods
Millis2005a	Millis	2005			Assessing potential propulsion breakthroughs (NASA TM)	verified-fulltext	engineering_methods
Millis2005b	Millis	2005		10.1196/annals.1370.023	Assessing potential propulsion breakthroughs (NYAS)	metadata-only	engineering_methods
Millis2009	Millis	2009		10.2514/4.479953	Frontiers of propulsion science	metadata-only	foundations
Mironov2018	Mironov	2018	1811.05832v1	10.1051/epjconf/201819107014	Towards wormhole beyond Horndeski	verified-fulltext	design_strategy
Mironov2019	Mironov	2019	1812.07022v2	10.1088/1361-6382/ab2574	More about stable wormholes in beyond Horndeski theory	verified-fulltext	foundations;design_strategy
Mironov2023	Mironov	2023	2212.05969v1	10.1103/PhysRevD.107.104061	In hot pursuit of a stable wormhole beyond Horndeski	verified-fulltext	foundations;design_strategy
Mironov2024	Mironov	2024	2404.06297v2	10.1142/S0217751X24430115	Complete stability for spherical backgrounds beyond Horndeski	verified-abstract	foundations
Moghtaderi2025	Moghtaderi	2025	2503.19955v2	10.1103/j6hp-p8hs	How much NEC breaking can the Universe endure?	verified-abstract	foundations
Molesky2018	Molesky	2018	1801.06715v1	10.1038/s41566-018-0246-9	Inverse design in nanophotonics	verified-fulltext	engineering_methods
Monticone2013	Monticone	2013	1307.3996v1	10.1103/PhysRevX.3.041005	Do cloaked objects really scatter less?	verified-fulltext	engineering_methods
Monticone2016	Monticone	2016		10.1364/OPTICA.3.000718	Invisibility exposed: physical bounds on passive cloaking	verified-abstract	engineering_methods
Moore2009	Moore	2009		10.1137/1.9780898717716	Introduction to interval analysis	metadata-only	engineering_methods
Morris1988a	Morris	1988		10.1119/1.15620	Wormholes in spacetime and their use for interstellar travel	verified-fulltext	foundations;design_strategy;synthesis
Morris1988b	Morris	1988		10.1103/PhysRevLett.61.1446	Wormholes, time machines, and the weak energy condition	verified-fulltext	foundations;design_strategy
Morris1991	Morris	1991		10.1080/00401706.1991.10484804	Factorial sampling plans for preliminary computational experiments	verified-fulltext	engineering_methods;synthesis
Nandi2004	Nandi	2004	gr-qc/0407079v5	10.1103/PhysRevD.70.127503	Volume integral theorem for exotic matter	verified-fulltext	design_strategy
NASA2016	National Aeronautics and Space Administration	2016			NASA systems engineering handbook	verified-fulltext	engineering_methods
NASA2024	National Aeronautics and Space Administration	2024			NASA-STD-7009B: standard for models and simulations	verified-fulltext	engineering_methods;synthesis
Natario2002	Natário	2002	gr-qc/0110086v3	10.1088/0264-9381/19/6/308	Warp drive with zero expansion	verified-fulltext	foundations;design_strategy;synthesis
Natario2006	Natário	2006	gr-qc/0408085v3	10.1007/s10714-006-0234-0	Newtonian limits of warp drive spacetimes	verified-abstract	design_strategy
Oberkampf2002	Oberkampf	2002		10.1016/S0376-0421(02)00005-2	Verification and validation in computational fluid dynamics	verified-fulltext	engineering_methods
Oberkampf2007	Oberkampf	2007		10.2172/976951	Predictive capability maturity model (PCMM)	verified-abstract	engineering_methods;synthesis
Oberkampf2010	Oberkampf	2010		10.1017/CBO9780511760396	Verification and validation in scientific computing	metadata-only	engineering_methods
Oberkampf2025	Oberkampf	2025		10.1017/9781009031004	Verification, validation, and UQ in scientific computing (2nd ed.)	metadata-only	engineering_methods
Olason2010	Olason	2010			Topology and shape optimization in the design process (thesis)	verified-fulltext	engineering_methods
Olewnik2003	Olewnik	2003		10.1115/DETC2003/DTM-48669	On validating design decision methodologies	verified-fulltext	engineering_methods
Olum1998	Olum	1998	gr-qc/9805003v2	10.1103/PhysRevLett.81.3567	Superluminal travel requires negative energies	verified-fulltext	foundations;design_strategy
Olum2003	Olum	2003	gr-qc/0205134v3	10.1016/S0370-2693(03)00011-X	Static negative energies near a domain wall	verified-abstract	design_strategy
Oreskes1994	Oreskes	1994		10.1126/science.263.5147.641	Verification, validation, and confirmation of numerical models	verified-abstract	engineering_methods
Page1982	Page	1982		10.1103/PhysRevD.25.1499	Thermal stress tensors in static Einstein spaces	verified-abstract	foundations
Palessandro2026	Palessandro	2026	2608.11817v1	10.1007/s10773-026-06434-x	Quantum inequalities from the second law	verified-abstract	design_strategy
Parker2009	Parker	2009		10.1017/CBO9780511813924	QFT in curved spacetime (Parker-Toms)	metadata-only	foundations
Pendry2006	Pendry	2006		10.1126/science.1125907	Controlling electromagnetic fields	verified-abstract	engineering_methods
Penrose1993	Penrose	1993	gr-qc/9301015v2		Positive mass theorem from null focusing	verified-fulltext	foundations;design_strategy
Pfenning1997	Pfenning	1997	gr-qc/9702026v3	10.1088/0264-9381/14/7/011	The unphysical nature of warp drive	verified-fulltext	foundations;design_strategy;synthesis
Pfenning1998a	Pfenning	1998	gr-qc/9710055v1	10.1103/PhysRevD.57.3489	Scalar field quantum inequalities in static spacetimes	verified-fulltext	design_strategy
Pfenning1998b	Pfenning	1998	gr-qc/9805037v1		QI restrictions in curved spacetimes (dissertation)	verified-abstract	foundations
Philbin2008	Philbin	2008	0711.4796v2	10.1126/science.1153625	Fiber-optical analog of the event horizon	verified-abstract	engineering_methods
Pieri2023	Pieri	2023	2311.12069v2		Hyperwave: hyper-fast communication within GR	verified-abstract	design_strategy
Plebanski1960	Plebanski	1960		10.1103/PhysRev.118.1396	Electromagnetic waves in gravitational fields	metadata-only	engineering_methods
Poisson1995	Poisson	1995	gr-qc/9506083v1	10.1103/PhysRevD.52.7318	Thin-shell wormholes: linearization stability	verified-fulltext	design_strategy;synthesis
Post2005	Post	2005		10.1063/1.1881898	Computational science demands a new paradigm	unverified	engineering_methods
Richardson1911	Richardson	1911		10.1098/rsta.1911.0009	Approximate arithmetical solution by finite differences	metadata-only	engineering_methods
Richardson1927	Richardson	1927		10.1098/rsta.1927.0008	The deferred approach to the limit	metadata-only	engineering_methods
Roache1994	Roache	1994		10.1115/1.2910291	Uniform reporting of grid refinement studies (GCI)	verified-abstract	engineering_methods
Roache1998	Roache	1998			V&V in computational science and engineering	metadata-only	engineering_methods
Roache2002	Roache	2002		10.1115/1.1436090	Code verification by the method of manufactured solutions	verified-abstract	engineering_methods
Rodal2023	Rodal	2023	2512.20738v1	10.1007/s10714-023-03182-9	Curvature invariants in the Alcubierre warp-drive spacetime	verified-abstract	design_strategy
Rodal2024	Rodal	2024	2512.19837v1	10.1007/s10773-024-05700-0	A closer look at Natario's zero-expansion warp drive	verified-abstract	design_strategy
Rodal2025	Rodal	2025	2507.09724v2		Infeasibility of low-energy warp drive via metamaterial coupling	verified-abstract	design_strategy
Rodal2026a	Rodal	2026	2512.18008v1	10.1007/s10714-025-03495-x	Warp drive with predominantly positive invariant energy density	verified-abstract	design_strategy;P01_vetting
Rodal2026b	Rodal	2026	2603.21352v2		Weakly birefringent screening disfavors fast Type I warp drives	verified-abstract	design_strategy
Roman1986	Roman	1986		10.1103/PhysRevD.33.3526	Quantum stress-energy tensors and the WEC	metadata-only	foundations
Rosso2020	Rosso	2020	2005.06476v3	10.1007/JHEP07(2020)023	Achronal ANEC for extremal horizons and (A)dS	verified-abstract	design_strategy
Roy2005	Roy	2005		10.1016/j.jcp.2004.10.036	Review of code and solution verification procedures	metadata-only	engineering_methods
Rubakov2014	Rubakov	2014	1401.4024v2	10.3367/UFNe.0184.201402b.0137	The null energy condition and its violation	verified-abstract	foundations
Rubakov2016a	Rubakov	2016	1509.08808v3	10.1134/S004057791605010X	Can Galileons support Lorentzian wormholes?	verified-fulltext	foundations;design_strategy
Rubakov2016b	Rubakov	2016	1601.06566v1	10.1134/S0040577916080080	More about wormholes in generalized Galileon theories	verified-fulltext	design_strategy
Sacks1989	Sacks	1989		10.1214/ss/1177012413	Design and analysis of computer experiments	verified-fulltext	engineering_methods
Sajeendran2025	Sajeendran	2025	2407.18993v2	10.1103/1gmk-3zdq	Looping back to the past in a controlled warp drive	verified-abstract	design_strategy
Salari2000	Salari	2000		10.2172/759450	Code verification by the method of manufactured solutions (Sandia)	verified-fulltext	engineering_methods;synthesis
Saltelli2008	Saltelli	2008		10.1002/9780470725184	Global sensitivity analysis: the primer	metadata-only	engineering_methods
Saltelli2010	Saltelli	2010		10.1016/j.envsoft.2010.04.012	How to avoid a perfunctory sensitivity analysis	metadata-only	engineering_methods
Saltelli2019	Saltelli	2019		10.1016/j.envsoft.2019.01.012	Why so many published sensitivity analyses are false	verified-fulltext	engineering_methods
Santiago2021	Santiago	2021	2106.05002v1	10.3390/universe7080271	Tractor, pressor and stressor beams in GR	verified-abstract	design_strategy
Santiago2022	Santiago	2022	2105.03079v2	10.1103/PhysRevD.105.064038	Generic warp drives violate the NEC	verified-fulltext	foundations;design_strategy;P01_vetting;synthesis
SantosPereira2020	Santos-Pereira	2020	2008.06560v1	10.1140/epjc/s10052-020-8355-2	Dust content solutions for the Alcubierre warp drive	verified-abstract	design_strategy
SantosPereira2021a	Santos-Pereira	2021	2101.11467v2	10.1140/epjc/s10052-021-08921-3	Fluid dynamics in the warp drive spacetime geometry	verified-abstract	design_strategy
SantosPereira2021b	Santos-Pereira	2021	2108.10960v1	10.1140/epjp/s13360-021-01899-7	Perfect fluid warp drive solutions with the cosmological constant	verified-abstract	design_strategy
SantosPereira2023	Santos-Pereira	2023	2111.01298v1	10.1142/9789811269776_0066	Warp drive dynamic solutions with different fluid sources	verified-abstract	design_strategy
SantosPereira2025	Santos-Pereira	2025	2508.20348v1		The warp drive: superluminal travel within GR (thesis)	verified-abstract	design_strategy
SantosPereira2026a	Santos-Pereira	2026	2512.12541v1	10.1140/epjc/s10052-025-15215-5	Matching the Alcubierre and Minkowski spacetimes	verified-abstract	design_strategy
SantosPereira2026b	Santos-Pereira	2026	2510.11836v3	10.1140/epjp/s13360-026-08079-5	Shift vector sign reversal and Burgers-type dynamics	verified-abstract	design_strategy
Schurig2006	Schurig	2006		10.1126/science.1133628	Metamaterial electromagnetic cloak at microwave frequencies	verified-abstract	engineering_methods
Schuster2023	Schuster	2023	2205.15950v2	10.1007/s10714-022-03061-9	ADM mass in warp drive spacetimes	verified-fulltext	foundations;design_strategy
Shibata2015	Shibata	2015		10.1142/9692	Numerical relativity (Shibata)	metadata-only	foundations
Shinkai2002	Shinkai	2002	gr-qc/0205041v2	10.1103/PhysRevD.66.044005	Fate of the first traversible wormhole	verified-fulltext	design_strategy
Shoshany2024	Shoshany	2024	2309.10072v3	10.1088/1361-6382/ad74d1	Warp drives and closed timelike curves	verified-fulltext	foundations;design_strategy;synthesis
Sigmund1998	Sigmund	1998		10.1007/BF01214002	Numerical instabilities in topology optimization	metadata-only	engineering_methods
Sigmund2001	Sigmund	2001		10.1007/s001580050176	A 99 line topology optimization code in Matlab	verified-fulltext	engineering_methods
Simpson2019	Simpson	2019	1812.07114v3	10.1088/1475-7516/2019/02/042	Black-bounce to traversable wormhole	verified-fulltext	design_strategy
Smarr1978	Smarr	1978		10.1103/PhysRevD.17.2529	Kinematical conditions in the construction of spacetime	metadata-only	foundations
Sobek1999	Sobek	1999			Toyota's principles of set-based concurrent engineering	metadata-only	engineering_methods
Sobol2001	Sobol'	2001		10.1016/S0378-4754(00)00270-6	Global sensitivity indices for nonlinear models	metadata-only	engineering_methods;synthesis
Steinhauer2016	Steinhauer	2016	1510.00621v3	10.1038/nphys3863	Quantum Hawking radiation in an analogue black hole	verified-abstract	engineering_methods
Steward1981	Steward	1981		10.1109/TEM.1981.6448589	The design structure system	metadata-only	engineering_methods
Suh1990	Suh	1990			The principles of design	metadata-only	engineering_methods;synthesis
Suh1998	Suh	1998		10.1007/s001639870001	Axiomatic design theory for systems	unverified	engineering_methods
Suh2001	Suh	2001			Axiomatic design: advances and applications	metadata-only	engineering_methods;synthesis
Tajmar2022	Tajmar	2022		10.1007/s12567-021-00385-1	High-accuracy thrust measurements of the EMDrive	verified-fulltext	engineering_methods
Teo2002	Teo	2002	gr-qc/0206066v2	10.1103/PhysRevD.66.064007	Quantum interest in two dimensions	verified-abstract	foundations
Tillack2008	Tillack	2008			Fusion R&D gaps using TRLs (FPA presentation)	verified-fulltext	engineering_methods
Tillack2009	Tillack	2009		10.13182/FST09-A9033	Fusion R&D gaps evaluated with TRLs	metadata-only	engineering_methods
Tipler1976	Tipler	1976		10.1103/PhysRevLett.37.879	Causality violation in asymptotically flat space-times	verified-abstract	foundations;design_strategy
Tipler1977	Tipler	1977		10.1016/0003-4916(77)90348-7	Singularities and causality violation	metadata-only	foundations;design_strategy
Toche2020	Toche	2020		10.1017/dsj.2020.16	Set-based design: a review and new directions	verified-fulltext	engineering_methods
Tolman1930a	Tolman	1930		10.1103/PhysRev.35.904	On the weight of heat and thermal equilibrium in GR	verified-abstract	foundations
Tolman1930b	Tolman	1930		10.1103/PhysRev.36.1791	Temperature equilibrium in a static gravitational field	verified-abstract	foundations
Tucker2011	Tucker	2011		10.1515/9781400838974	Validated numerics	metadata-only	engineering_methods
Unruh1976	Unruh	1976		10.1103/PhysRevD.14.870	Notes on black-hole evaporation	verified-abstract	foundations
Unruh1981	Unruh	1981		10.1103/PhysRevLett.46.1351	Experimental black-hole evaporation?	metadata-only	engineering_methods
Urban2010a	Urban	2010	0910.5925v2	10.1103/PhysRevD.81.024039	ANEC violation in a conformally flat spacetime	verified-fulltext	foundations;design_strategy;P01_vetting
Urban2010b	Urban	2010	1002.4689v2	10.1103/PhysRevD.81.124004	Spacetime averaged null energy condition	verified-abstract	foundations
Valentine2009	Valentine	2009		10.1038/nmat2461	An optical cloak made of dielectrics	verified-abstract	engineering_methods
VanDenBroeck1999	Van Den Broeck	1999	gr-qc/9905084v5	10.1088/0264-9381/16/12/314	A warp drive with more reasonable total energy requirements	verified-fulltext	foundations;design_strategy;synthesis
Verch2000	Verch	2000	math-ph/9904036v1	10.1063/1.533130	ANEC for general QFTs in two dimensions	verified-abstract	foundations
Visser1989a	Visser	1989	0809.0907v1	10.1103/PhysRevD.39.3182	Traversable wormholes: some simple examples	verified-fulltext	design_strategy
Visser1989b	Visser	1989	0809.0927v1	10.1016/0550-3213(89)90100-4	Traversable wormholes from surgically modified Schwarzschild	verified-fulltext	design_strategy
Visser1993	Visser	1993	hep-th/9202090v2	10.1103/PhysRevD.47.554	From wormhole to time machine (chronology protection)	verified-abstract	design_strategy
Visser1995a	Visser	1995	gr-qc/9409043v1	10.1016/0370-2693(95)00303-3	Scale anomalies imply ANEC violation	verified-abstract	foundations;design_strategy
Visser1995b	Visser	1995			Lorentzian wormholes: from Einstein to Hawking	metadata-only	foundations
Visser1996a	Visser	1996	gr-qc/9604007v1	10.1103/PhysRevD.54.5103	Gravitational vacuum polarization I (Hartle-Hawking)	verified-abstract	foundations
Visser1996b	Visser	1996	gr-qc/9604008v1	10.1103/PhysRevD.54.5116	Gravitational vacuum polarization II (Boulware)	verified-abstract	foundations
Visser1996c	Visser	1996	gr-qc/9604009v1	10.1103/PhysRevD.54.5123	Gravitational vacuum polarization III (1+1 D)	verified-abstract	foundations
Visser1997a	Visser	1997	gr-qc/9702043v1	10.1103/PhysRevD.55.5212	Traversable wormholes: the Roman ring	verified-abstract	design_strategy
Visser1997b	Visser	1997	gr-qc/9703001v1	10.1103/PhysRevD.56.936	Gravitational vacuum polarization IV (Unruh)	verified-abstract	foundations
Visser1999	Visser	1999	gr-qc/9908023v1	10.1063/1.1301601	Perturbative superluminal censorship and the NEC	verified-fulltext	design_strategy
Visser2000	Visser	2000	gr-qc/9810026v2	10.1016/S0920-5632(00)00782-9	Superluminal censorship	verified-fulltext	foundations;design_strategy
Visser2002	Visser	2002	gr-qc/0204022v2		The quantum physics of chronology protection	verified-abstract	foundations
Visser2003	Visser	2003	gr-qc/0301003v2	10.1103/PhysRevLett.90.201102	Wormholes with arbitrarily small energy condition violations	verified-fulltext	design_strategy
Wald1991	Wald	1991		10.1103/PhysRevD.44.403	General proof of ANEC for a 2D massless scalar	verified-abstract	foundations;design_strategy
Wald1994	Wald	1994			QFT in curved spacetime and black hole thermodynamics	metadata-only	foundations
Wall2010	Wall	2010	0910.5751v2	10.1103/PhysRevD.81.024038	Proving achronal ANEC from the GSL	verified-fulltext	foundations;design_strategy;synthesis
Wang2011	Wang	2011		10.1007/s00158-010-0602-y	Projection methods and robust formulations in topology optimization	verified-abstract	engineering_methods
Ward1995	Ward	1995			The second Toyota paradox	unverified	engineering_methods
Weber2015	Weber	2015			Industrial application of axiomatic design	verified-fulltext	engineering_methods
Weinfurtner2011	Weinfurtner	2011	1008.1911v2	10.1103/PhysRevLett.106.021302	Stimulated Hawking emission in an analogue system	verified-abstract	engineering_methods
White2025	White	2025		10.1088/1361-6382/ae237a	Interior-flat cylindrical nacelle warp bubbles	verified-abstract	design_strategy
Wurzel2022	Wurzel	2022	2105.10954v4	10.1063/5.0083990	Fusion breakeven and gain against the Lawson criterion	verified-fulltext	engineering_methods
Yan2007	Yan	2007	0706.0655v2	10.1103/PhysRevLett.99.233901	Simplified cylindrical cloak is inherently visible	verified-fulltext	engineering_methods
Zhang2010	Zhang	2010	1004.2551v2	10.1103/PhysRevLett.104.233903	Lateral shift makes a ground-plane cloak detectable	verified-abstract	engineering_methods
Zhang2011	Zhang	2011	1012.2238v3	10.1103/PhysRevLett.106.033901	Macroscopic invisibility cloak for visible light	verified-fulltext	engineering_methods
Zhang2023	Zhang	2023	2004.14267v4	10.1016/j.cjph.2023.04.016	Traversable thin-shell wormhole in 4D EGB theory	verified-abstract	design_strategy
Zhou2004	Zhou	2004		10.1007/s00158-003-0351-2	Integrated topology, sizing, and shape optimization	metadata-only	engineering_methods
